time,Baseline,Direct Mail,Newspaper,Online,Radio,TV
"Jan 4, 2004",36548112,1743789,4445127,8091,3855659,657992
"Jan 11, 2004",33384007,4902700,7839881,689897,3294933,4110663
"Jan 18, 2004",36211719,4941648,13429925,722716,8535211,6894841
"Jan 25, 2004",33826059,1149783,8448748,199760,3586066,4001883
"Feb 1, 2004",32242263,4933469,7484680,377958,2234208,3352411
"Feb 8, 2004",29920264,777369,7706098,260627,2612825,1796578
"Feb 15, 2004",35278376,3440456,8354589,706709,2029653,3157966
"Feb 22, 2004",36576073,2702653,13785930,801516,1762026,4857917
"Feb 29, 2004",38195003,184758,10838050,342164,4340878,4136251
"Mar 7, 2004",36480432,2827016,7413686,135962,1579238,1440664
"Mar 14, 2004",43963224,1037214,8837667,76305,1759065,680895
"Mar 21, 2004",41696612,4740032,9939242,1888228,3027105,2027925
"Mar 28, 2004",63108228,4681761,12548219,1516038,4414363,6189346
"Apr 4, 2004",67821771,4710677,14265502,1589188,1972994,6808412
"Apr 11, 2004",80557222,4902166,16134353,1258930,2062260,5490318
"Apr 18, 2004",96971189,5120649,13301014,856937,3808862,5488540
"Apr 25, 2004",92184310,5488295,15260948,1489814,3210938,6325694
"May 2, 2004",157376458,4704397,20617251,2267539,8587835,9300510
"May 9, 2004",93301539,4678551,15172823,2116466,9239381,9823655
"May 16, 2004",47506544,2383417,7295722,272598,2896518,7481243
"May 23, 2004",31404982,437,1788415,86854,1876748,2467567
"May 30, 2004",26579506,14673,2974750,68280,4057339,731281
"Jun 6, 2004",27303419,1542252,4633254,66423,4442396,284274
"Jun 13, 2004",28777927,86042,5032139,49210,2628784,534139
"Jun 20, 2004",31846800,855060,12572117,1455120,3291632,182833
"Jun 27, 2004",27160254,4844982,19440510,1587678,2102156,2056697
"Jul 4, 2004",22887341,5269884,17380918,1701315,5663129,4737060
"Jul 11, 2004",27667322,13372,5425708,1564386,3928825,1509575
"Jul 18, 2004",33386482,2838605,7525718,1619672,1738534,656358
"Jul 25, 2004",35671381,1286524,10744111,1516116,2607299,390239
"Aug 1, 2004",29382715,5123760,14397056,1763838,5045941,4865193
"Aug 8, 2004",14833018,5772061,12203921,1917433,4342556,2494656
"Aug 15, 2004",39220552,19178,2436235,1699226,575767,1121043
"Aug 22, 2004",32242390,4494061,5954513,2434794,287534,3362681
"Aug 29, 2004",33873248,5284007,11865906,2530577,5451352,6453671
"Sep 5, 2004",33873248,5284007,11865906,2530577,5451352,6453671
"Sep 12, 2004",28589657,795507,11641496,2046441,2844340,4054642
"Sep 19, 2004",44424335,5697391,10220264,3083313,2037210,3753509
"Sep 26, 2004",50688003,750405,18767914,6410883,2787997,8117673
"Oct 3, 2004",24895567,5015074,10124800,2932498,5681881,2527288
"Oct 10, 2004",34621640,1808752,10802395,2897548,3299788,4100223
"Oct 17, 2004",28345334,6354963,15376405,2433192,3936152,2689749
"Oct 24, 2004",29961022,5972037,14299818,1945720,2024110,2413534
"Oct 31, 2004",51191886,2166314,14416074,2442840,10671663,6962850
"Nov 7, 2004",44150135,2029593,2414378,1937837,2095976,2212644
"Nov 14, 2004",39953448,3276461,2355516,1938413,4054921,1060904
"Nov 21, 2004",42747144,268787,10353708,4162927,1328571,2830435
"Nov 28, 2004",36032486,89135,7243804,2706524,4398418,4405293
"Dec 5, 2004",30500684,5684172,3038932,2013465,439842,1339876
"Dec 12, 2004",39482951,1513307,1742083,1810359,43984,496627
"Dec 19, 2004",36454623,464,5294363,1903329,657238,225047
"Dec 26, 2004",36857779,476177,6513310,1905696,3568352,188968
"Jan 2, 2005",39825142,4743204,5946112,2121482,3904972,1702873
"Jan 9, 2005",36490740,1954923,4170501,1978495,528213,506468
"Jan 16, 2005",29689171,4925477,8317388,1919184,3383894,2829697
"Jan 23, 2005",33873248,5284007,11865906,2530577,5451352,6453671
"Jan 30, 2005",28589657,795507,11641496,2046441,2844340,4054642
"Feb 6, 2005",44424335,5697391,10220264,3083313,2037210,3753509
"Feb 13, 2005",50688003,750405,18767914,6410883,2787997,8117673
"Feb 20, 2005",24895567,5015074,10124800,2932498,5681881,2527288
"Feb 27, 2005",34621640,1808752,10802395,2897548,3299788,4100223
"Mar 6, 2005",28345334,6354963,15376405,2433192,3936152,2689749
"Mar 13, 2005",29961022,5972037,14299818,1945720,2024110,2413534
"Mar 20, 2005",51191886,2166314,14416074,2442840,10671663,6962850
"Mar 27, 2005",44150135,2029593,2414378,1937837,2095976,2212644
"Apr 3, 2005",39953448,3276461,2355516,1938413,4054921,1060904
"Apr 10, 2005",42747144,268787,10353708,4162927,1328571,2830435
"Apr 17, 2005",36032486,89135,7243804,2706524,4398418,4405293
"Apr 24, 2005",30500684,5684172,3038932,2013465,439842,1339876
"May 1, 2005",39482951,1513307,1742083,1810359,43984,496627
"May 8, 2005",36454623,464,5294363,1903329,657238,225047
"May 15, 2005",36857779,476177,6513310,1905696,3568352,188968
"May 22, 2005",39825142,4743204,5946112,2121482,3904972,1702873
"May 29, 2005",36490740,1954923,4170501,1978495,528213,506468
"Jun 5, 2005",29689171,4925477,8317388,1919184,3383894,2829697
